name,regular_price,clubcard_price,expiration_date,product_link
Pomaranče voľné,"2,15 €/kg",1.39 €,13.05.2025,https://potravinydomov.itesco.sk/groceries/sk-SK/products/2002006558552
Petržlen voľný,"2,65 €/kg",1.49 €,13.05.2025
Paprika červená voľná,"5,49 €/kg",2.19 €,13.05.2025
Kaleráb ks,"0,89 €/Kus",0.59 €,13.05.2025
Rajo Tradičné maslo z lahodnej smotany 250 g,"15,56 €/kg",2.25 €,13.05.2025
Cuketa voľná,"2,69 €/kg",1.19 €,13.05.2025
Rajo Smotana na šľahanie 33% 250 ml,"7,16 €/kg",1.19 €,13.05.2025
Hellmann's Majolenka originál 405 ml,"9,51 €/l",2.19 €,13.05.2025
Rajo Tvaroh jemný hrudkovitý 250 g,"5,16 €/kg",0.95 €,13.05.2025
Hellmann's Tatárska omáčka 405 ml,"9,51 €/l",2.19 €,13.05.2025
Giana Uhorky 6-9 cm 670 g,"5,53 €/kg",1.29 €,13.05.2025
Sedita Horalky 50 g,"13,60 €/kg",0.52 €,20.05.2025
Liptov Bryndza 110 g,"18,64 €/kg",1.29 €,13.05.2025
Relax Džús 100% pomaranč 1 l,"2,55 €/l",1.89 €,13.05.2025
Bonduelle Gold Zlatá kukurica 340 g,"5,93 €/kg",1.29 €,20.05.2025
Milsy Bánovecká nátierka tradičná natur 200 g,"8,75 €/kg",0.99 €,13.05.2025
Pilsner Urquell Pivo ležiak svetlý 500 ml,"3,10 €/l",1.09 €,20.05.2025
Tesco Luxury Soft Toaletný papier 3 vrstvy 8 kotúčov,"0,44 €/Kus",2.55 €,20.05.2025
Avokádo ks,"1,69 €/Kus",0.99 €,13.05.2025
Tento Classic toaletný papier 3 vrstvy 8 kotúčov,"0,67 €/Kus",2.73 €,13.05.2025
Hellmann's Majolenka starej mamy 405 ml,"9,51 €/l",2.19 €,13.05.2025
Tesco Springforce Kuchynské utierky 2 vrstvy 1 kotúč,"2,55 €/Kus",2.05 €,26.05.2025
Tesco Nitran saláma 100 g,"11,90 €/kg",0.79 €,13.05.2025
Tesco Kuracie horné stehná,"3,79 €/kg",2.89 €,13.05.2025
Mlékárna Kunín Termix tvarohový dezert kakaový 90 g,"6,11 €/kg",0.38 €,13.05.2025
Tesco Kuracie dolné stehná,"3,79 €/kg",2.99 €,13.05.2025
Tesco Čučoriedky 250 g,"15,96 €/kg",2.19 €,13.05.2025
"Budiš Prírodná minerálna voda jemne perlivá 1,5 l","0,43 €/l",0.39 €,13.05.2025
Rama Maslová príchuť 400 g,"9,73 €/kg",1.69 €,13.05.2025
Tesco Arašidy nelúpané pražené 500 g,"6,18 €/kg",2.39 €,20.05.2025
Vianočka svetlá 310 g,"5,45 €/kg",1.39 €,13.05.2025
Tesco Múka hladká pšeničná 1 kg,"0,53 €/kg",0.46 €,13.05.2025
Jablká Pink Lady ukladané,"2,69 €/kg",1.65 €,13.05.2025
Bonduelle Gold Zlatá kukurica 170 g,"10,64 €/kg",1.19 €,20.05.2025
Tesco Čerstvé vajcia z podstielkového chovu L 10 ks,"0,40 €/Kus",2.89 €,13.05.2025
Dr. Oetker Vanilkový cukor 8 g,"31,25 €/kg",N/A,13.05.2025
Donut s kakaovou polevou 55 g,"10,00 €/kg",0.46 €,13.05.2025
Relax Džús 100% jablko 1 l,"2,05 €/l",1.29 €,13.05.2025
Bravčové karé bez kosti,"6,69 €/kg",4.49 €,13.05.2025
Bonduelle Hrášok v mierne slanom náleve 400 g,"6,38 €/kg",1.29 €,20.05.2025
Figaro čokoláda na varenie 90 g,"18,78 €/kg",0.89 €,26.05.2025
Tauris Maťko šunková pena 100 g,"12,90 €/kg",0.65 €,13.05.2025
Hellmann's Kečup jemný 485 g,"5,96 €/kg",1.99 €,13.05.2025
Relax Džús 100% multivitamín 1 l,"2,05 €/l",1.29 €,13.05.2025
Tesco Balkánsky syr 200 g,"9,45 €/kg",1.69 €,13.05.2025
Milko Maťko kakaový tvarohový krém 130 g,"6,00 €/kg",0.62 €,13.05.2025
Pilsner Urquell Pivo svetlý ležiak 500 ml,"2,78 €/l",0.99 €,13.05.2025
Tesco Cibuľa šalotka 250 g,"3,56 €/kg",0.49 €,13.05.2025
Rajo Tradičné maslo z lahodnej smotany 125 g,"19,60 €/kg",1.59 €,13.05.2025
Tauris Zipser šunka originál,"18,90 €/kg",15.90 €,13.05.2025
Bravčové stehno bez kosti Slovensko,"6,59 €/kg",4.19 €,13.05.2025
"Hrozno stolové tmavé, voľné","4,79 €/kg",2.99 €,13.05.2025
Rajo Lakto Free Smotana na šľahanie 30% 200 ml,"11,95 €/l",1.59 €,13.05.2025
Mecom Chopok saláma,"14,90 €/kg",10.90 €,13.05.2025
Tento Ellegance Blue Decor toaletný papier 3 vrstvy 8 kotúčov,"0,67 €/Kus",2.73 €,13.05.2025
Baron Nitran saláma,"12,90 €/kg",8.90 €,13.05.2025
"Budiš Prírodná minerálna voda perlivá 1,5 l","0,43 €/l",0.39 €,13.05.2025
"Rajec Pramenitá voda jemne sýtená 1,5 l","0,45 €/l",0.49 €,20.05.2025
ORION BANÁNY želé tyčinka v horkej čokoláde 45 g,"19,78 €/kg",0.49 €,20.05.2025
Baron Kuracia šunka špeciál nárez,"15,90 €/kg",9.90 €,13.05.2025
Coca-Cola 6 x 330 ml,"2,02 €/l",3.29 €,13.05.2025
ORION KOKO Kokosová tyčinka v mliečnej čokoláde 35 g,"18,57 €/kg",0.59 €,20.05.2025
Donut s ružovou polevou a jahodovou príchuťou 56 g,"9,82 €/kg",0.46 €,13.05.2025
Zvolenský Smotanový jogurt grécky typ biely 1 kg,"4,09 €/kg",2.99 €,13.05.2025
Springforce Toaletný papier 2 vrstvy 1 kotúč,"0,81 €/Kus",0.61 €,20.05.2025
Tento Family Economy toaletný papier 2 vrstvový 1 kotúč,"1,09 €/Kus",0.81 €,13.05.2025
Zott Monte Maxi mliečny dezert čokoládový s lieskovými orieškami 4 x 100 g (400 g),"6,63 €/kg",1.59 €,13.05.2025
Tesco Múka polohrubá pšeničná 1 kg,"0,53 €/kg",0.46 €,13.05.2025
Karička črievko Tavený syr 100 g,"17,50 €/kg",1.09 €,13.05.2025
"Rajec Pramenitá voda nesýtená 1,5 l","0,45 €/l",0.49 €,20.05.2025
Berto Tradičná šunka poctivá 100 g,"19,90 €/kg",1.35 €,13.05.2025
Giana Lúpané paradajky krájané v paradajkovej šťave 400 g,"4,96 €/kg",0.95 €,13.05.2025
Tento Family Super Aqua papierové utierky 2 vrstvy 2 rolky,"0,93 €/Kus",1.45 €,13.05.2025
Tesco Parenica neúdená 112 g,"11,16 €/kg",0.99 €,13.05.2025
ACTIVIA Biela 120g,"6,25 €/kg",0.59 €,13.05.2025
Lučina Nadýchaná so smotanou 140 g,"16,07 €/kg",1.59 €,13.05.2025
Tesco Mleté mäso - zmes bravčového a hovädzieho mäsa 800 g,"7,36 €/kg",3.89 €,13.05.2025
Baron Bravčová šunka,"12,50 €/kg",10.50 €,13.05.2025
Opavia sušienky BeBe Rodinné jemné cereálne 130 g,"9,15 €/kg",0.95 €,26.05.2025
Vénusz Jedlý jednodruhový rastlinný olej repkový 1 l,"3,09 €/l",1.75 €,13.05.2025
Tesco Jadrá kešu orechov nepražené 500 g,"14,98 €/kg",5.49 €,20.05.2025
Tento Ellegance Blue Decor toaletný papier 3 vrstvy 16 kotúčov,"0,49 €/Kus",6.29 €,13.05.2025
Slovakia Chips Solené 200 g,N/A,N/A,N/A
Tento Classic toaletný papier 3 vrstvy 16 kotúčov,"0,49 €/Kus",6.29 €,13.05.2025
Tesco Mandle jadrá 500 g,"12,78 €/kg",4.49 €,20.05.2025
Müller MIX vanilkový jogurt s čokoládovými guľôčkami 130 g,"6,08 €/kg",0.63 €,27.05.2025
Tento Natural Softness hygienické vreckovky 3 vrstvové 10 x 10 ks,"0,01 €/Kus",1.35 €,13.05.2025
Limety ks,"0,49 €/Kus",0.29 €,13.05.2025
Mlékárna Kunín Termix tvarohový dezert s príchuťou vanilky 90 g,"6,11 €/kg",0.38 €,13.05.2025
Milko Maťko vanilkový tvarohový krém 130 g,"6,00 €/kg",0.62 €,13.05.2025
"Tesco Pistáciové oriešky v škrupine pražené, solené 500 g","17,98 €/kg",6.49 €,20.05.2025
